2021;;;;;
Tipo;Processo;Etapa;Portaria;BASF instauração; BASF resultado
PAD;00200.005788/2020-46;Em andamento ;1ª Sec. nº 01/2021;7676;-
PAD;00200.010329/2020-84;Finalizado;1ª Sec. nº 03/2021;7177;7902
PAD;00200.012328/2018-50 e 00200.010681/2019-86;Em andamento;1ª sec. nº 04/2021;7756;-
PAD;00200.017403/2019-50;Em andamento;1ª Sec. nº 06/2021;7461;-
PAD;00200.018657/2019-95;Em andamento;1ª Sec. nº 07/2021;7784;-
PAD;00200.003538/2021-52;Em andamento;1ª Sec. nº 12/2021;7872;-
PAD;00200.001548-2021-53;Em andamento;1ª Sec. nº 16/2021;7928;-
;;;;;
;;;;;
;;;;;
*BASF - Boletim Adminsitrativo do Senado Federal;;;;;
;;;;;
;;;;Atualizada em 30/07/2021;
